nr,osoba,werdykt,connection,post,comment
1,Eliza Głowacka Szprot,skip,"BRAK powiazania politycznego. W wykazie PKW nie ma ani jednego rekordu tego imienia i nazwiska zgodnego z dekada urodzenia, ktora wynika z PESEL-a we wpisie KRS. | ZRODLO: wykaz kandydatow PKW (person_pkw, kanal oficjalny)","Wiceprezes zarzadu AMW REWITA sp. z o.o. (KRS 0000394569, publiczna, rada nadzorcza) od 2026-08-24; potwierdzone, sygnatura G*******|S*****/E****, PESEL z cyfra 8. ZRODLO: odpis aktualny KRS 0000394569, stan 24.08.2026, api-krs.ms.gov.pl","verdict=skip || TEZA: brak - sama posada w spolce publicznej nie jest powiazaniem politycznym. || UWAGA: posada zostala potwierdzona w aktualnym odpisie KRS, wiec wiersz nie polegl na danych, tylko na tym, ze nie ma czego opowiedziec. Dekada z PESEL-a to jedyne sito tozsamosci, jakim dysponuje zamaskowany odpis; gdyby kiedys pojawil sie pelny PESEL, warto to przeliczyc ponownie."
2,Agnieszka Lyszczok,skip,"BRAK powiazania politycznego. W wykazie PKW nie ma ani jednego rekordu tego imienia i nazwiska zgodnego z dekada urodzenia, ktora wynika z PESEL-a we wpisie KRS. | ZRODLO: wykaz kandydatow PKW (person_pkw, kanal oficjalny)","Prezes zarzadu i czlonkini rady nadzorczej MASTER - ODPADY I ENERGIA sp. z o.o. (KRS 0000078561, publiczna) od 2026-08-24 (rada nadzorcza od 2025-11-14); potwierdzone, PESEL z cyfra 8. ZRODLO: odpis aktualny KRS 0000078561, stan 02.09.2026, api-krs.ms.gov.pl","verdict=skip || TEZA: brak - sama posada w spolce publicznej nie jest powiazaniem politycznym. || UWAGA: posada zostala potwierdzona w aktualnym odpisie KRS, wiec wiersz nie polegl na danych, tylko na tym, ze nie ma czego opowiedziec. Dekada z PESEL-a to jedyne sito tozsamosci, jakim dysponuje zamaskowany odpis; gdyby kiedys pojawil sie pelny PESEL, warto to przeliczyc ponownie."
3,Piotr Smykla,skip,"BRAK powiazania politycznego. W wykazie PKW nie ma ani jednego rekordu tego imienia i nazwiska zgodnego z dekada urodzenia, ktora wynika z PESEL-a we wpisie KRS. | ZRODLO: wykaz kandydatow PKW (person_pkw, kanal oficjalny) Cztery rekordy PKW o tym imieniu i nazwisku istnieja, ale wszystkie maja roczniki 1956, 1969 i 1992 - zadnego z lat 80.","Czlonek rady nadzorczej GDYNSKA KOMUNIKACJA MIEJSKA sp. z o.o. (KRS 0000076927, publiczna) od 2026-08-24; potwierdzone, PESEL z cyfra 8. ZRODLO: odpis aktualny KRS 0000076927, stan 10.09.2026, api-krs.ms.gov.pl","verdict=skip || TEZA: brak - sama posada w spolce publicznej nie jest powiazaniem politycznym. || UWAGA: posada zostala potwierdzona w aktualnym odpisie KRS, wiec wiersz nie polegl na danych, tylko na tym, ze nie ma czego opowiedziec. Dekada z PESEL-a to jedyne sito tozsamosci, jakim dysponuje zamaskowany odpis; gdyby kiedys pojawil sie pelny PESEL, warto to przeliczyc ponownie."
4,Bogusław Bielawski,skip,"BRAK powiazania politycznego. W wykazie PKW nie ma ani jednego rekordu tego imienia i nazwiska zgodnego z dekada urodzenia, ktora wynika z PESEL-a we wpisie KRS. | ZRODLO: wykaz kandydatow PKW (person_pkw, kanal oficjalny)","Czlonek RADY SPOLECZNEJ SPZOZ ""PRZYCHODNIA DWORCOWA"" w Gorzowie Wielkopolskim (KRS 0000122132) od 2026-08-21. Potwierdzone w odpisie z rejestru S: jedyny organ nadzoru to ""RADA SPOLECZNA SPZOZ PRZYCHODNIA DWORCOWA"", a w jej skladzie jest B********/B******* (9+8 liter), PESEL z cyfra 7. ZRODLO: odpis aktualny KRS 0000122132 (rejestr S), stan 21.08.2026, api-krs.ms.gov.pl","verdict=skip || TEZA: brak. || UWAGA: pulapka nr 1 - strona renderuje to jako ""Rada Nadzorcza"", ale rejestr mowi wprost RADA SPOLECZNA, ktora polityka strony wyklucza. Ten wiersz umiera dwa razy: raz na organie, raz na braku powiazania. To jedyna posada tej osoby."
5,Daniel Kazaniecki,skip,"BRAK powiazania politycznego. W wykazie PKW nie ma ani jednego rekordu tego imienia i nazwiska zgodnego z dekada urodzenia, ktora wynika z PESEL-a we wpisie KRS. | ZRODLO: wykaz kandydatow PKW (person_pkw, kanal oficjalny)","Czlonek rady nadzorczej ELEKTROCIEPLOWNIA CIECHANOW sp. z o.o. (KRS 0000134317, publiczna) od 2026-08-21; potwierdzone, PESEL z cyfra 7. ZRODLO: odpis aktualny KRS 0000134317, stan 21.08.2026, api-krs.ms.gov.pl","verdict=skip || TEZA: brak - sama posada w spolce publicznej nie jest powiazaniem politycznym. || UWAGA: posada zostala potwierdzona w aktualnym odpisie KRS, wiec wiersz nie polegl na danych, tylko na tym, ze nie ma czego opowiedziec. Dekada z PESEL-a to jedyne sito tozsamosci, jakim dysponuje zamaskowany odpis; gdyby kiedys pojawil sie pelny PESEL, warto to przeliczyc ponownie."
6,Jarosław Węgrzyn,skip,"BRAK powiazania politycznego. W wykazie PKW nie ma ani jednego rekordu tego imienia i nazwiska zgodnego z dekada urodzenia, ktora wynika z PESEL-a we wpisie KRS. | ZRODLO: wykaz kandydatow PKW (person_pkw, kanal oficjalny) Jedyny rekord PKW (1998, Komitet Wyborczy Ruch Patriotyczny Ojczyzna) dotyczy osoby ur. 1961 - o pokolenie starszej.","Czlonek rady nadzorczej SZYBKA KOLEJ MIEJSKA sp. z o.o. (KRS 0000206762, publiczna) od 2026-08-21; potwierdzone, PESEL z cyfra 8. ZRODLO: odpis aktualny KRS 0000206762, stan 31.08.2026, api-krs.ms.gov.pl","verdict=skip || TEZA: brak - sama posada w spolce publicznej nie jest powiazaniem politycznym. || UWAGA: posada zostala potwierdzona w aktualnym odpisie KRS, wiec wiersz nie polegl na danych, tylko na tym, ze nie ma czego opowiedziec. Dekada z PESEL-a to jedyne sito tozsamosci, jakim dysponuje zamaskowany odpis; gdyby kiedys pojawil sie pelny PESEL, warto to przeliczyc ponownie."
7,Przemysław Pawlak,maybe,"Kandydat do rady powiatu staszowskiego w 2018 z KOMITETU WYBORCZEGO WYBORCOW STRONNICTWA PIAST ZIEMI STASZOWSKIEJ (teryt 261200, ur. 1982) - komitet wyborcow, nie partia. | ZRODLO: wykaz kandydatow PKW (person_pkw, kanal oficjalny). UWAGA do zrodla: kandydatury, ktore strona przypisuje tej osobie (LPR 2002, Forum Demokratyczne 2018), maja teryt 300400, czyli powiat gostynski w Wielkopolsce, i rocznik 1981 - to inny czlowiek.","Czlonek rady nadzorczej delegowany do czasowego pelnienia funkcji czlonka zarzadu PRZEDSIEBIORSTWA GOSPODARKI KOMUNALNEJ W POLANCU sp. z o.o. (KRS 0000178314, publiczna) od 2026-08-21, w radzie od 2024-08-28; potwierdzone, PESEL z cyfra 8. Polaniec lezy w powiecie staszowskim - tym samym, w ktorym kandydowal. ZRODLO: odpis aktualny KRS 0000178314, stan 21.08.2026, api-krs.ms.gov.pl","verdict=maybe || TEZA: delegowany do zarzadu gminnej spolki czlowiek, ktory szesc lat wczesniej kandydowal do rady tego samego powiatu z lokalnego komitetu. || UWAGA: powiazanie jest lokalne i bezpartyjne - komitet wyborcow to nie partia, a kandydatura jest przegrana i sprzed osmiu lat. Wazniejsze jest co innego: strona ma tu prawdopodobnie zle zlaczenie. Przypisuje mu kandydatury z Wielkopolski, podczas gdy jedyna zgodna geograficznie i rocznikowo jest ta ze Staszowa. Zanim ten wiersz gdziekolwiek trafi, trzeba naprawic kandydatury, bo publikowanie go teraz oznaczaloby przypisanie komus czlonkostwa w LPR na podstawie imiennika."
8,Wojciech Bochnak,publish,"Czlonek Platformy Obywatelskiej RP z wlasnej deklaracji w PKW (Sejm 2023, okreg dolnoslaski); radny gminy Kondratowice WYBRANY 2010 (rownoczesnie deklarujac czlonkostwo w PO), radny sejmiku dolnoslaskiego WYBRANY 2024 z listy KKW Koalicja Obywatelska; kandydowal nieprzerwanie od 1998 (ur. 1975/1976). | ZRODLO: wykaz kandydatow PKW (person_pkw, kanal oficjalny) - 13 kandydatur, dwie zakonczone mandatem, dwie deklaracje czlonkostwa w PO.","Sierpniowa posada to czlonek rady nadzorczej WROCLAWSKIEGO KLUBU SPORTOWEGO ""SLASK WROCLAW"" SA (KRS 0000070008) od 2026-08-20; wczesniej byl w jego zarzadzie 2019-2023. Potwierdzone, PESEL z cyfra 7. Rownolegle, i to jest posada do opublikowania: czlonek rady nadzorczej TERMY CIEPLICKIE sp. z o.o. (KRS 0000430598, publiczna) od 2025-04-22, nadal - potwierdzone. ZRODLO: odpis aktualny KRS 0000070008, stan 20.08.2026, api-krs.ms.gov.pl; odpis aktualny KRS 0000430598, stan 09.06.2026, api-krs.ms.gov.pl","verdict=publish || TEZA: czlonek PO i radny sejmiku dolnoslaskiego zbiera posady w spolkach komunalnych calego wojewodztwa - ZGK, Wroclawski Park Wodny, Termy Cieplickie, a od sierpnia rada nadzorcza Slaska Wroclaw. || UWAGA: sierpniowy pracodawca ma w bazie is_public=false, bo Slask Wroclaw SA to klub sportowy - a jest w praktyce spolka Gminy Wroclaw. To jest wlasnie ten znany falszywy negatyw, ale tu nie trzeba sie na niego opierac: rownoczesna, potwierdzona posada w Termach Cieplickich jest bezspornie publiczna. Zlaczenie tozsamosci: rocznik z PKW (1975/76) zgadza sie z dekada z PESEL-a, a Kondratowice i sejmik dolnoslaski zgadzaja sie ze wszystkimi pracodawcami."
9,Piotr Tomasz Karaś,publish,"Radny Siedlec WYBRANY dwukrotnie: w 2010 z listy Komitetu Wyborczego Platforma Obywatelska RP i w 2024 z KWW GRZEGORZA ORZELOWSKIEGO KOCHAM SIEDLCE; miedzy nimi kandydowal z PO w 2014 i z KWW Lepsze Siedlce w 2018 (teryt 146401, ur. 1974). Urzad z wyboru, sprawowany obecnie. | ZRODLO: wykaz kandydatow PKW (person_pkw, kanal oficjalny)","Czlonek rady nadzorczej OTWOCKIEGO PRZEDSIEBIORSTWA WODOCIAGOW I KANALIZACJI sp. z o.o. (KRS 0000287447, publiczna, rada nadzorcza) od 2026-08-19; potwierdzone, sygnatura K****/P****, PESEL z cyfra 7 - zgodne z rocznikiem 1974. Wczesniejsze posady: rada nadzorcza PEC w Lukowie 2024-2026 i rada nadzorcza SPZOZ ""RM-MEDITRANS"" w Siedlcach 2012-2022 (ta druga to rada spoleczna i nie liczy sie). ZRODLO: odpis aktualny KRS 0000287447, stan 19.08.2026, api-krs.ms.gov.pl","verdict=publish || TEZA: czynny radny Siedlec od szesnastu lat obsadza po kolei rady nadzorcze spolek komunalnych w trzech roznych powiatach - Siedlce, Lukow, teraz Otwock - i zadna z nich nie lezy w jego wlasnym miescie. || UWAGA: sprawdzona pulapka nr 1 - z trzech posad jedna (RM-MEDITRANS) jest rada spoleczna SPZOZ i zostala odrzucona; sierpniowa jest rada nadzorcza zwyklej spolki komunalnej i przechodzi. Zlaczenie: rocznik 1974 z PKW zgadza sie z dekada z PESEL-a; nazwisko Karas jest czeste, ale zaden inny zgodny rocznikowo rekord nie jest z Mazowsza."
10,Krzysztof Sitarski,publish,"Kandydat do Sejmu 2023 z listy KOMITETU WYBORCZEGO PRAWO I SPRAWIEDLIWOSC w okregu slaskim; wczesniej kandydat Kukiz'15 do Sejmu w 2015 i do Parlamentu Europejskiego w 2019. Przy kazdej z tych kandydatur deklarowal, ze nie nalezy do partii politycznej. | ZRODLO: wykaz kandydatow PKW (person_pkw, kanal oficjalny)","Prezes zarzadu MIEJSKIEGO OSRODKA SPORTU I REKREACJI W ZABRZU sp. z o.o. (KRS 0000083858, publiczna, rada nadzorcza) od 2026-08-19; potwierdzone, sygnatura S*******/K********, PESEL z cyfra 7. ZRODLO: odpis aktualny KRS 0000083858, stan 19.08.2026, api-krs.ms.gov.pl","verdict=publish || TEZA: czlowiek, ktory szedl do Sejmu z listy PiS w 2023, trzy lata pozniej dostaje prezesure miejskiej spolki w Zabrzu. || UWAGA: strona etykietuje go jako PiS, ale on sam przy kazdej kandydaturze deklarowal brak czlonkostwa w partii - etykieta pochodzi z komitetu, nie z deklaracji, i tak trzeba to opisac. Zlaczenie jest mocne: wszystkie trzy kandydatury sa ze Slaska (teryt 24), pracodawca tez, a dekada z PESEL-a sie zgadza."
