nr,osoba,wynik,pozycja_w_kolejce,link,id,modele,wynik_bez_party_member,rejestr_io,partie,zatrudniony_od,posady,kandydatury
1,Hanna Chodecka,4.31,1,https://autopush.koryta.pl/osoba/WXTQi7i93elIJH8MSemT,WXTQi7i93elIJH8MSemT,evidence=3 pipeline=5 pipeline-capture=5 pipeline-pagerank=3,4.31,https://rejestr.io/osoby/552915,PO,2026-05-22,"Rada Nadzorcza @ SAMODZIELNY ZESPÓŁ PUBLICZNYCH ZAKŁADÓW LECZNICTWA OTWARTEGO WARSZAWA - WAWER (KRS 0000089156, publiczna) 2026-05-22–nadal",1998 Samorząd Komitet Wyborczy Akcja Wyborcza Solidarność; 2006 Samorząd Komitet Wyborczy Platforma Obywatelska RP partia: PO; 2018 Samorząd KOALICYJNY KOMITET WYBORCZY PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA partia: PO; 2024 Samorząd KKW KOALICJA OBYWATELSKA partia: PO WYBRANY; 2002 Samorząd KWW Wspólnota Wawerska; 2010 Samorząd KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP partia: PO WYBRANY; 2014 Samorząd Komitet Wyborczy Platforma Obywatelska RP partia: PO
2,Józef Rysak,4.24,2,https://autopush.koryta.pl/osoba/b9pbkk9OOXnOob4T5hhV,b9pbkk9OOXnOob4T5hhV,evidence=4 pipeline=5 pipeline-capture=5 pipeline-pagerank=2 pipeline-succession=1,4.32,https://rejestr.io/osoby/97177,"PSL, Polska 2050",2021-01-25,"Rada Nadzorcza @ STOWARZYSZENIE METROPOLIA KRAKOWSKA (KRS 0000514292, prywatna/nieznana) 2021-01-25–2024-06-13",1994 Samorząd; 2015 Sejm Komitet Wyborczy Polskie Stronnictwo Ludowe partia: PSL; 2024 Samorząd KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI WYBRANY; 2006 Samorząd KWW WSPÓLNA GMINA; 2010 Samorząd KOMITET WYBORCZY POROZUMIENIE PODKRAKOWSKIE PKW-deklaracja: członek Polskiego Stronnictwa Ludowego WYBRANY; 2010 Samorząd KOMITET WYBORCZY POROZUMIENIE PODKRAKOWSKIE PKW-deklaracja: członek Polskiego Stronnictwa Ludowego; 2014 Samorząd Komitet Wyborczy Porozumienie Podkrakowskie; 2018 Samorząd KOMITET WYBORCZY POROZUMIENIE PODKRAKOWSKIE PKW-deklaracja: PSL WYBRANY; 2005 Sejm Komitet Wyborczy Polskiego Stronnictwa Ludowego partia: PSL
3,Marek Sarwa,4.23,3,https://autopush.koryta.pl/osoba/kQtSE0azJbN2l3UTqd2n,kQtSE0azJbN2l3UTqd2n,evidence=4 pipeline=5 pipeline-capture=4 pipeline-facts=4 pipeline-pagerank=3 pipeline-succession=5 pipeline-together=2 pipeline-turnover=4,4.08,https://rejestr.io/osoby/2753043,PiS,2025-05-23,"Prokurent @ TOMASZOWSKIE CENTRUM ZDROWIA (KRS 0000312959, publiczna) 2025-05-23–2026-02-18; Rada Nadzorcza @ TOMASZOWSKIE CENTRUM ZDROWIA (KRS 0000312959, publiczna) 2024-09-05–2024-09-13; Rada Nadzorcza @ INWESTYCJE MEDYCZNE ŁÓDZKIEGO (KRS 0000507870, publiczna) 2020-03-09–2024-09-26",2024 Samorząd KWW WSPÓLNIE DLA GMINY DRZEWICA PKW-deklaracja: członek partii politycznej: Prawo i Sprawiedliwość; 2002 Samorząd KWW Drzewicka Wspólnota Samorządowa; 2010 Samorząd KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ partia: PiS WYBRANY; 2014 Samorząd Komitet Wyborczy Prawo i Sprawiedliwość partia: PiS; 2024 Samorząd KWW WSPÓLNIE DLA GMINY DRZEWICA; 2014 Samorząd Komitet Wyborczy Prawo i Sprawiedliwość partia: PiS; 2023 Sejm KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ partia: PiS PKW-deklaracja: członek partii politycznej: Prawo i Sprawiedliwość; 2018 Samorząd KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ partia: PiS PKW-deklaracja: Prawo i Sprawiedliwość
4,Jadwiga Szeląg,4.16,4,https://autopush.koryta.pl/osoba/q5ASd87FtQ3SqoACRbCk,q5ASd87FtQ3SqoACRbCk,evidence=3 pipeline=4 pipeline-capture=5 pipeline-pagerank=3 pipeline-succession=3 pipeline-together=2 pipeline-turnover=5,4.16,https://rejestr.io/osoby/613190,"PO, SLD",2021-12-15,"Rada Nadzorcza @ MIEDZIOWE CENTRUM ZDROWIA (KRS 0000049529, publiczna) 2015-07-09–2016-05-30; Rada Nadzorcza @ GMINNE CENTRUM ZDROWIA W NOWEJ MĘCINCE (KRS 0000017032, publiczna) 2011-07-04–2017-06-07; Rada Nadzorcza @ WOJEWÓDZKI SZPITAL SPECJALISTYCZNY W LEGNICY (KRS 0000163872, publiczna) 2015-04-17–2020-06-18; Rada Nadzorcza @ WOJEWÓDZKI SZPITAL SPECJALISTYCZNY W LEGNICY (KRS 0000163872, publiczna) 2021-12-15–nadal",2002 Samorząd KWW Wspólnota Samorządowa Ziemi Złotoryjskiej; 2010 Samorząd KOMITET WYBORCZY PLATFORMA OBYWATELSKA RP partia: PO WYBRANY; 2006 Samorząd Koalicyjny Komitet Wyborczy SLD+SDPL+PD+UP Lewica i Demokraci partia: SLD; 2024 Samorząd KKW KOALICJA OBYWATELSKA partia: PO; 2014 Samorząd Komitet Wyborczy Platforma Obywatelska RP partia: PO; 2018 Samorząd KOALICYJNY KOMITET WYBORCZY PLATFORMA.NOWOCZESNA KOALICJA OBYWATELSKA partia: PO
5,Franciszek Marszałek,4.15,5,https://autopush.koryta.pl/osoba/PLiIwz5IhTPhqNdaiCvm,PLiIwz5IhTPhqNdaiCvm,evidence=4 pipeline=5 pipeline-capture=5 pipeline-facts=4 pipeline-pagerank=2 pipeline-succession=1 pipeline-together=2 pipeline-turnover=4,4.00,https://rejestr.io/osoby/1396161,"PSL, Polska 2050",2024-03-28,"Rada Nadzorcza @ ZWIĄZEK MIAST POLSKICH (KRS 0000069153, prywatna/nieznana) 2019-05-22–2025-02-10; Rada Nadzorcza @ KOLEJE WIELKOPOLSKIE (KRS 0000349125, publiczna) 2024-03-28–2026-06-15",2007 Sejm Komitet Wyborczy Polskiego Stronnictwa Ludowego partia: PSL; 2010 Samorząd KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE partia: PSL WYBRANY; 2023 Sejm KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE PKW-deklaracja: członek partii politycznej: Polskie Stronnictwo Ludowe; 2024 Samorząd KWW SPL WYBRANY; 2014 Samorząd Komitet Wyborczy Polskie Stronnictwo Ludowe partia: PSL; 2019 Sejm KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE partia: PSL PKW-deklaracja: członek partii politycznej: Polskie Stronnictwo Ludowe; 2018 Samorząd KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE partia: PSL; 2018 Samorząd KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE partia: PSL PKW-deklaracja: Polskie Stronnictwo Ludowe WYBRANY; 2009 Parlament Europejski Komitet Wyborczy Polskie Stronnictwo Ludowe partia: PSL; 2024 Samorząd KWW SPL PKW-deklaracja: członek partii politycznej: Polskie Stronnictwo Ludowe; 2014 Samorząd Komitet Wyborczy Polskie Stronnictwo Ludowe partia: PSL
6,Jan Wiesław Duda,4.12,6,https://autopush.koryta.pl/osoba/NL5LqtQ4VO6qDLfIotol,NL5LqtQ4VO6qDLfIotol,evidence=4 pipeline=3 pipeline-capture=5 pipeline-pagerank=3 pipeline-together=1 pipeline-turnover=5,3.93,https://rejestr.io/osoby/1281709,PiS,2025-06-25,"Rada Nadzorcza @ MAŁOPOLSKI SZPITAL ORTOPEDYCZNO-REHABILITACYJNY IM. PROF.BOGUSŁAWA FRAŃCZUKA (KRS 0000038598, publiczna) 2025-06-25–nadal; Rada Nadzorcza @ SZPITAL SPECJALISTYCZNY IM. JĘDRZEJA ŚNIADECKIEGO W NOWYM SĄCZU (KRS 0000029409, publiczna) 2024-12-23–nadal; Rada Nadzorcza @ SZPITAL SPECJALISTYCZNY CHORÓB PŁUC ""ODRODZENIE"" IM. KLARY JELSKIEJ (KRS 0000007565, publiczna) 2024-09-13–nadal","1998 Samorząd Komitet Wyborczy Akcja Wyborcza Solidarność; 2019 Sejm KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ partia: PiS PKW-deklaracja: członek partii politycznej: Prawo i Sprawiedliwość WYBRANY; 2015 Sejm Komitet Wyborczy Prawo i Sprawiedliwość partia: PiS; 2024 Samorząd KW PRAWO I SPRAWIEDLIWOŚĆ partia: PiS WYBRANY; 1991 Senat Krajowy Komitet Wyborczy Ruchu Ludowego ""Porozumienie Ludowe"""
7,Krzysztof Adam Matyjaszczyk,4.12,7,https://autopush.koryta.pl/osoba/rRMEgL2WMC98fZ5HU1Wk,rRMEgL2WMC98fZ5HU1Wk,evidence=4 pipeline=4 pipeline-capture=5 pipeline-pagerank=3 pipeline-together=1 pipeline-turnover=4,3.93,https://rejestr.io/osoby/1290436,SLD,2022-11-29,"Rada Nadzorcza @ PRZEDSIĘBIORSTWO WODOCIĄGÓW I KANALIZACJI OKRĘGU CZĘSTOCHOWSKIEGO SPÓŁKA AKCYJNA W CZĘSTOCHOWIE (KRS 0000057953, prywatna/nieznana) 2013-06-25–2019-04-16; Rada Nadzorcza @ ZAKŁAD GOSPODARKI MIESZKANIOWEJ TOWARZYSTWO BUDOWNICTWA SPOŁECZNEGO W CZĘSTOCHOWIE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ (KRS 0000131961, publiczna) 2002-10-07–2003-03-24; Rada Nadzorcza @ REJONOWE PRZEDSIĘBIORSTWO WODOCIĄGÓW I KANALIZACJI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ (KRS 0000213560, publiczna) 2019-10-23–2023-03-28; Rada Nadzorcza @ KRAKOWSKI HOLDING KOMUNALNY SPÓŁKA AKCYJNA W KRAKOWIE (KRS 0000006301, publiczna) 2022-11-29–2024-04-12; Zarząd @ ZWIĄZEK GMIN I POWIATÓW SUBREGIONU PÓŁNOCNEGO WOJEWÓDZTWA ŚLĄSKIEGO (KRS 0000821458, prywatna/nieznana) 2020-01-03–nadal; Rada Nadzorcza @ MIEJSKIE PRZEDSIĘBIORSTWO WODOCIĄGÓW I KANALIZACJI (KRS 0000078165, publiczna) 2020-02-10–2024-05-17",2006 Samorząd Koalicyjny Komitet Wyborczy SLD+SDPL+PD+UP Lewica i Demokraci partia: SLD; 2010 Samorząd KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ partia: SLD PKW-deklaracja: członek Sojuszu Lewicy Demokratycznej WYBRANY; 2010 Samorząd KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ partia: SLD PKW-deklaracja: członek Sojuszu Lewicy Demokratycznej; 2014 Samorząd Koalicyjny Komitet Wyborczy SLD Lewica Razem partia: SLD; 2007 Sejm Koalicyjny Komitet Wyborczy Lewica i Demokraci SLD+SDPL+PD+UP; 2024 Samorząd KKW LEWICA partia: SLD PKW-deklaracja: członek partii politycznej: Nowa Lewica; 2024 Samorząd KKW LEWICA partia: SLD WYBRANY; 2018 Samorząd KOALICYJNY KOMITET WYBORCZY SLD LEWICA RAZEM partia: SLD PKW-deklaracja: Sojusz Lewicy Demokratycznej WYBRANY; 2002 Samorząd Koalicyjny KW Sojusz Lewicy Demokratycznej - Unia Pracy partia: SLD; 2018 Samorząd KOALICYJNY KOMITET WYBORCZY SLD LEWICA RAZEM partia: SLD; 2014 Samorząd Koalicyjny Komitet Wyborczy SLD Lewica Razem partia: SLD
8,Zdzisław Szwed,4.07,8,https://autopush.koryta.pl/osoba/aDXu6UWTVLVpzG5hKunm,aDXu6UWTVLVpzG5hKunm,evidence=4 pipeline=5 pipeline-capture=2 pipeline-facts=4 pipeline-pagerank=3 pipeline-succession=3 pipeline-together=2 pipeline-turnover=5,3.92,https://rejestr.io/osoby/1343945,PiS,2024-07-15,"Rada Nadzorcza @ MIEJSKIE PRZEDSIĘBIORSTWO ENERGETYKI CIEPLNEJ (KRS 0000047164, publiczna) 2019-01-29–2021-12-07; Rada Nadzorcza @ MIEJSKIE PRZEDSIĘBIORSTWO ENERGETYKI CIEPLNEJ (KRS 0000047164, publiczna) 2004-06-28–2007-01-30; Rada Nadzorcza @ CHEŁMSKIE TOWARZYSTWO BUDOWNICTWA SPOŁECZNEGO (KRS 0000147068, publiczna) 2003-03-03–2004-11-18; Zarząd @ LUBELSKIE DWORCE (KRS 0000306605, publiczna) 2024-07-15–2025-01-13; Rada Nadzorcza @ PKP LINIA HUTNICZA SZEROKOTOROWA (KRS 0000062888, publiczna) 2021-05-12–2024-06-24",2014 Samorząd Komitet Wyborczy Prawo i Sprawiedliwość partia: PiS; 2019 Sejm KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ partia: PiS PKW-deklaracja: członek partii politycznej: Prawo i Sprawiedliwość; 2024 Samorząd KW PRAWO I SPRAWIEDLIWOŚĆ partia: PiS; 2011 Sejm Komitet Wyborczy Prawo i Sprawiedliwość partia: PiS PKW-deklaracja: członek partii Prawo i Sprawiedliwość; 2010 Samorząd KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ partia: PiS WYBRANY; 2018 Samorząd KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ partia: PiS; 2015 Sejm Komitet Wyborczy Prawo i Sprawiedliwość partia: PiS; 2002 Samorząd KWW Krzysztofa Grabczuka Kocham Chełm; 2023 Sejm KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ partia: PiS PKW-deklaracja: członek partii politycznej: Prawo i Sprawiedliwość
9,Antoni Jan Kręźlewicz,4.06,9,https://autopush.koryta.pl/osoba/eA4RJUTIj3HTqRMCNUTg,eA4RJUTIj3HTqRMCNUTg,evidence=4 pipeline=5 pipeline-capture=3 pipeline-pagerank=3,3.80,https://rejestr.io/osoby/417,PSL,2022-01-14,"Rada Nadzorcza @ SAMODZIELNY ZESPÓŁ PUBLICZNYCH ZAKŁADÓW OPIEKI ZDROWOTNEJ IM. DZIECI WARSZAWY W DZIEKANOWIE LEŚNYM (KRS 0000072265, publiczna) 2022-01-14–nadal",1998 Samorząd Krajowy Komitet Wyborczy Przymierze Społeczne: PSL-UP-KPEiR partia: PSL; 2001 Sejm Komitet Wyborczy Polskiego Stronnictwa Ludowego partia: PSL PKW-deklaracja: członek PSL; 2002 Samorząd KWW Centrum Samorządowe WYBRANY; 2006 Samorząd KWW Centrum Samorządowe; 2024 Samorząd KWW ANNY MALISZEWSKIEJ WYBRANY; 2018 Samorząd KOMITET WYBORCZY WYBORCÓW CENTRUM SAMORZĄDOWE CZOSNÓW PKW-deklaracja: Polskie Stronnictwo Ludowe WYBRANY; 2002 Samorząd KWW Centrum Samorządowe; 2010 Samorząd KOMITET WYBORCZY WYBORCÓW CENTRUM SAMORZĄDOWE PKW-deklaracja: członek Polskiego Stronnictwa Ludowego WYBRANY; 2014 Samorząd Komitet Wyborczy Wyborców Centrum Samorządowe Czosnów
10,Jacek Marcin Baczyński,4.01,11,https://autopush.koryta.pl/osoba/C9KK8GIe1SwasTy5YPy9,C9KK8GIe1SwasTy5YPy9,evidence=4 pipeline=5 pipeline-capture=5 pipeline-pagerank=2 pipeline-succession=3 pipeline-together=1 pipeline-turnover=3,3.83,https://rejestr.io/osoby/2197949,PiS,2020-06-18,"Rada Nadzorcza @ WOJEWÓDZKI SZPITAL SPECJALISTYCZNY W LEGNICY (KRS 0000163872, publiczna) 2020-06-18–2021-12-15",2018 Samorząd KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ partia: PiS; 2014 Samorząd Komitet Wyborczy Prawo i Sprawiedliwość partia: PiS; 2015 Sejm Komitet Wyborczy Prawo i Sprawiedliwość partia: PiS; 2010 Samorząd KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ partia: PiS WYBRANY; 2019 Parlament Europejski PKW-deklaracja: członek partii politycznej: Prawo i Sprawiedliwość; 2024 Samorząd KW PRAWO I SPRAWIEDLIWOŚĆ partia: PiS; 2006 Samorząd Komitet Wyborczy Prawo i Sprawiedliwość partia: PiS
