nr,osoba,werdykt,connection,post,comment
1,Hanna Chodecka,skip,"Long-serving PO/KO activist and councillor in Warsaw's Wawer district: candidate as early as 1998 (AWS), WYBRANA to Rada Dzielnicy Wawer in 2010 on the PO list, again in the 2018-2023 term (KO, 746 votes), and again in the current 2024-2029 term (KKW Koalicja Obywatelska, PO). connection_kind is elected-office - a genuine, repeated electoral record, not a bare candidacy. | ZRODLO: https://wawer.um.warszawa.pl/-/radni-dzielnicy-2024-2029 (current 2024-2029 roster); https://www.portalsamorzadowy.pl/wybory-2018/kandydat/hanna-chodecka,191726,12.html (2018 candidate page); koryta record's kandydatury field (2024 KKW Koalicja Obywatelska/PO WYBRANY; 2010 Komitet Wyborczy Platforma Obywatelska RP/PO WYBRANY).","One post total, and it does not count: czlonek Rady Nadzorczej (site label) at Samodzielny Zespol Publicznych Zakladow Lecznictwa Otwartego Warszawa-Wawer (SP ZOZ, KRS 0000089156), current since 2026-05-22. krs_lookup.json marks this KRS's supervisory_organ as rada_spoleczna, so despite is_public_raw being true, it is excluded by site policy (trap 1) - and it is her only listed company post, so nothing remains to publish.","verdict=skip || TEZA: Hanna Chodecka is an 18-years-active PO/KO Wawer district councillor, elected again in 2024, but her sole company post is a rada spoleczna the site must exclude, leaving no attachable story today. || UWAGA: Identity is solid across sources (Wawer district site, portalsamorzadowy 2018 candidate page, koryta kandydatury record); no verifier was run (skip verdict). If she is ever appointed to a genuine, non-rada-spoleczna board seat, the political record here is strong enough to revisit immediately."
2,Józef Rysak,publish,"PSL/Trzecia Droga politician: wojt gminy Igolomia-Wawrzenczyce (powiat krakowski) for over 17 years until 2024, then WYBRANY Przewodniczacy Rady Powiatu Krakowskiego in the April 2024 samorzad elections on the Trzecia Droga (PSL-Polska 2050) list, elected with 935 votes (6.84%) in okreg 2; earlier PSL declarant and WYBRANY candidate in the 2010 and 2018 samorzad races. | ZRODLO: https://dziennikpolski24.pl/przejecie-wladzy-w-powiecie-krakowskim-pis-nie-ma-wiekszosci-przewodniczacym-powiatu-zostal-jozef-rysak-byly-wojt/ar/c1-18511767 (names him by name, 17+-year wojt, elected chairman 16-13 votes over Alicja Wojcik, 6 May 2024 session); https://www.portalsamorzadowy.pl/osoba/jozef-rysak,100377.html (Rada Powiatu w Krakowie, kadencja 2024-2029, district 2, KKW Trzecia Droga PSL-PL2050, 935 votes); https://samorzad2024.pkw.gov.pl/samorzad2024/pl/rada_powiatu/kandydat/3332142; live KRS OdpisAktualny 0000514292 rejestr=S, queried 2026-09-05 (current Komisja Rewizyjna's three members do not match him).","One post, already ended: Komisja Rewizyjna (site label 'Rada Nadzorcza') at Stowarzyszenie Metropolia Krakowska (KRS 0000514292), 2021-01-25 to 2024-06-13. is_public_raw is false but likely_public_via_hardcoded_bug is true, so it counts as a genuinely publicly-tied post under the site's hardcoded list; supervisory_organ is komisja_rewizyjna, not rada_spoleczna, so it is not excluded. His seat ended almost exactly when he moved from wojt to Przewodniczacy Rady Powiatu Krakowskiego.","verdict=publish || TEZA: Jozef Rysak, a 17-year PSL wojt of a Metropolia Krakowska member gmina, sat on that association's oversight commission throughout his term and left it within weeks of being elevated to chair the Krakow county council in 2024. || UWAGA: A verifier independently checked the connection, identity, organ type and end date and found no grounds to refute it (confirmed via the press account of the 2024-05-06 council session and the live KRS odpis; refuted is false). The remaining caution is that the seat itself is a lighter-weight association komisja rewizyjna post rather than a company rada nadzorcza, so the story leans on the elected-office timing."
3,Marek Sarwa,publish,"PiS: declared party member on the 2023 Sejm PKW filing (okreg covering Tomaszow Mazowiecki/Piotrkow Trybunalski, no. 9 on the list, unsuccessful), WYBRANY Drzewica town councillor in 2010 on the PiS list, later elected Opoczno county councillor (2014, PiS) and chairman of the PiS councillors' club; lost a 2024 bid for Burmistrz Drzewicy. An investigative piece names him directly as a PiS-connected appointee at Tomaszowskie Centrum Zdrowia, and he separately held the Deputy Director post at KOWR, a national state agency. | ZRODLO: https://tomaszowmazowiecki.naszemiasto.pl/szpital-w-tomaszowie-jak-partyjny-folwark-pis/ar/c1p2-27311239 (canonical text of the Dziennik Lodzki/Polska Press investigation 'Szpital w Tomaszowie jak partyjny folwark PiS', names Sarwa as TCZ logistics director, ex-Inwestycje Medyczne Lodzkiego rada nadzorcza chairman under PiS, KOWR deputy director, failed PiS Sejm and Drzewica mayoral candidate); https://tomaszowmazowiecki.naszemiasto.pl/prezes-szpitala-w-tomaszowie-odwolany-marka-utrackiego-zastapil-konrad-borowski-nowy-zarzad-powiatu-wymienil-tez-rade-nadzorcza-spolki-tcz/ar/c14p2-28658967 (Feb 2026 board purge; confirms he kept the prokura through the January reshuffle before being removed); https://www.wnp.pl/parlamentarny/osoba/marek-sarwa,99690.html (biography: Drzewica, KOWR deputy director since 2019, 2010/2014 elections); live KRS OdpisAktualny for 0000312959 and 0000507870, queried 2026-09-05 (neither current board lists him).","Three posts across two genuinely public companies (neither rada spoleczna), all now ended: prokurent at Tomaszowskie Centrum Zdrowia sp. z o.o. (KRS 0000312959) from 2025-05-23 to 2026-02-18; rada nadzorcza at the same company for eight days, 2024-09-05 to 2024-09-13; and rada nadzorcza at Inwestycje Medyczne Lodzkiego sp. z o.o. (KRS 0000507870, owned by Sejmik Lodzkie) from 2020-03-09 to 2024-09-26. Live KRS confirms he is off both current boards.","verdict=publish || TEZA: Marek Sarwa, a failed PiS Sejm and Drzewica-mayor candidate, was named outright by an investigative report as a party-connected outsider parachuted into a hospital logistics/prokura post and a supervisory board seat, on top of a separately documented PiS-era chairmanship of the regional medical-investment company's rada nadzorcza. || UWAGA: A verifier independently opened the full investigative text (the originally cited dzienniklodzki.pl URL was a bare photo-gallery caption; its canonical link resolves to the naszemiasto.pl article actually quoted) and found the claim, identity, organ types and end dates all confirmed - refuted is false. Cite the naszemiasto.pl canonical URL rather than the dzienniklodzki.pl gallery link when publishing."
4,Jadwiga Szeląg,skip,"18-year Sejmik Wojewodztwa Dolnoslaskiego councillor (SLD in 2006, then PO), first elected 2006 and serving through the 2018-2023 term as vice-chair of the health/social-policy commission - dubbed 'lokomotywa Platformy Obywatelskiej' in Zlotoryja - but she LOST her seat in the April 2024 regional election despite topping the local vote count. connection_kind is elected-office, a real and long electoral record that has now ended. | ZRODLO: https://www.zlotoryjska.pl/aktualnosc-9047-sejmik_bez_zlotoryjanki.html (10.04.2024, reports her loss after four terms, roughly 2,500 votes short); https://e-legnickie.pl/wiadomosci-z-regionu/zlotoryja/38965-j-szelag-lokomotywa-platformy-obywatelskiej-decyzja-zapadla; https://umwd.dolnyslask.pl/sejmik/radni-wojewodztwa (current VII-kadencja 2024-2029 roster, checked 2026-09-05, does not include her).","Four posts across three SPZOZ-type entities; three are rada spoleczna and excluded (including the only current one - Wojewodzki Szpital Specjalistyczny w Legnicy, KRS 0000163872, since 2021-12-15), and the one genuine rada nadzorcza seat (Miedziowe Centrum Zdrowia S.A., KRS 0000049529) ended back in 2016.","verdict=skip || TEZA: Jadwiga Szelag was an 18-year PO regional councillor and health-commission vice-chair, but she lost her Sejmik seat in April 2024 and every current or near-current hospital board seat she holds is a rada spoleczna the site must exclude. || UWAGA: Identity is solid across independent local sources (e-legnickie.pl, zlotoryjska.pl, umwd.dolnyslask.pl); no verifier was run (skip verdict). Revisit if she takes a new genuine board seat or if the Legnica hospital's organ type is ever reclassified - the underlying political record would support a page immediately."
5,Franciszek Marszałek,publish,"PSL: Burmistrz Krotoszyna 2014-2024 (lost the 2024-04-21 runoff, 28.31% vs 71.69%), chairman of the city-gmina PSL board in Krotoszyn, earlier Sejmik Wielkopolskie councillor 2010-2014 and deputy mayor 2002-2010; WYBRANY to Rada Miejska w Krotoszynie in 2024 (current 2024-2029 term, 252 votes) via his own local list (KWW Samorzadowe Porozumienie Ludowe). | ZRODLO: https://www.portalsamorzadowy.pl/osoba/franciszek-marszalek,99886.html (confirms burmistrz since 2014, the runoff score, and the 252-vote council win, district 2); https://wlkp24.info/franciszek-marszalek-ma-nowa-posade-zostal-dyrektorem-w-wojskowych-strukturach/ (corroborates the full career and the same runoff result); https://krotoszyn.esesja.pl/radny/134670/franciszekamarsza%C5%82ek.htm (current council membership); live KRS OdpisAktualny 0000349125, queried 2026-09-05 (current rada nadzorcza does not include him, and the sole shareholder, Wojewodztwo Wielkopolskie, holds 100% of udzialy).","Two posts across two entities, neither rada spoleczna, both now ended: rada nadzorcza at Zwiazek Miast Polskich (KRS 0000069153, a komisja_rewizyjna-type organ; is_public_raw false but likely_public_via_hardcoded_bug true) from 2019-05-22 to 2025-02-10, a seat tied to holding the mayor's office itself; and rada nadzorcza at Koleje Wielkopolskie sp. z o.o. (KRS 0000349125, genuinely publiczna, 100% Wojewodztwo Wielkopolskie-owned) from 2024-03-28 to 2026-06-15, begun one month before he lost the mayoral runoff and kept for over two years after. Live KRS confirms he is off the current Koleje Wielkopolskie board.","verdict=publish || TEZA: Franciszek Marszalek, a 10-year PSL mayor of Krotoszyn, was placed on the regional railway company's supervisory board weeks before he lost re-election in 2024, and kept the seat more than two years past his defeat. || UWAGA: A verifier independently confirmed the connection, identity, both organs' non-rada-spoleczna classification, the current-shareholder structure (100% Wojewodztwo Wielkopolskie) and the live-KRS end date, and found no grounds to refute it. The Koleje Wielkopolskie seat's survival two years past his mayoral defeat (unlike the Zwiazek Miast Polskich seat, which ended with the office) is not documented by any source as an ex officio arrangement - flag it as a likely party-patronage appointment when publishing."
6,Jan Wiesław Duda,skip,"Two-term Sejm poseł (PiS, VIII and IX kadencja, elected 2015 and 2019 from okreg 14 Nowy Sacz; did not run in 2023); since 2024 a radny of Sejmik Wojewodztwa Malopolskiego (KW PiS, WYBRANY). PKW 2019 declaration: member of Prawo i Sprawiedliwosc. | ZRODLO: kandydatury field of next_hundred.json (2019 Sejm WYBRANY plus PKW declaration PiS; 2024 Samorzad WYBRANY); https://pl.wikipedia.org/wiki/Jan_Duda_(ur._1960); https://nowosadecki.pl/pl/jan-duda-otworzyl-biuro-poselskie; https://www.wnp.pl/parlamentarny/osoba/jan-duda,195082.html (all accessed 2026-09-05).","Three posts in the data, all marked 'nadal' (ongoing): rada nadzorcza at Malopolski Szpital Ortopedyczno-Rehabilitacyjny im. prof. B. Franczuka (KRS 0000038598, since 2025-06-25), Szpital Specjalistyczny im. Jedrzeja Sniadeckiego w Nowym Saczu (KRS 0000029409, since 2024-12-23), and Szpital Specjalistyczny Chorob Pluc 'Odrodzenie' (KRS 0000007565, since 2024-09-13). All three are SPZOZ hospitals whose statutory supervisory body is a rada spoleczna, not a rada nadzorcza - excluded under house rules regardless of the KRS public-flag noise on these records. No live re-check was done since the exclusion is categorical, not timing-dependent.","verdict=skip || TEZA: Jan Wieslaw Duda, a two-term PiS poseł and now a Malopolska sejmik radny, picked up three hospital board seats in textbook post-election timing (September 2024, December 2024, June 2025) - but all three are rada spoleczna seats, a categorically excluded post type, so there is no valid trough post to pair with an otherwise strong political connection. || UWAGA: Very strong political record (two-term poseł, now sejmik radny) but no eligible trough post - all three are rada spoleczna seats, categorically excluded. Not publishable unless that exclusion policy changes."
7,Krzysztof Adam Matyjaszczyk,publish,"Prezydent Miasta Czestochowy continuously since 2010 (current term 2024-2029), poseł na Sejm 2007-2010, long-time chairman of SLD Czestochowa and vice-chairman of the SLD regional board in Katowice. PKW 2024 declaration: member of Nowa Lewica. | ZRODLO: kandydatury field (WYBRANY 2010, 2018, 2024; PKW declarations SLD/Nowa Lewica); https://www.portalsamorzadowy.pl/osoba/krzysztof-matyjaszczyk,157.html; https://www.gazetaprawna.pl/wiadomosci/artykuly/1313502,wyniki-wyborow-krzysztof-matyjaszczyk-prezydentem-czestochowy.html; https://en.wikipedia.org/wiki/Krzysztof_Matyjaszczyk; live check https://api-krs.ms.gov.pl/api/krs/OdpisAktualny/0000821458?rejestr=S (accessed 2026-09-05, stan na 02.06.2026).","Six posts total, five with closed end dates (rada nadzorcza seats at PWiK Okregu Czestochowskiego SA 2013-2019, ZGM TBS Czestochowa 2002-2003, Rejonowe PWiK sp. z o.o. 2019-2023, Krakowski Holding Komunalny SA 2022-2024, and MPWiK 2020-2024) and one current: chairman (Przewodniczacy Zarzadu) of the Zwiazek Gmin i Powiatow Subregionu Polnocnego Woj. Slaskiego since 2020, confirmed still live in the KRS odpis as of stan 02.06.2026. None is a rada spoleczna.","verdict=publish || TEZA: Krzysztof Matyjaszczyk, prezydent of Czestochowa continuously since 2010 (SLD/Nowa Lewica), has held six supervisory or executive board seats at municipal water and housing companies and now chairs the board of an inter-municipal association, a currently active post confirmed live in KRS. || UWAGA: Unexplained is why a Czestochowa prezydent sat on Krakowski Holding Komunalny's board (a Krakow company, 2022-2024) - no direct press source found, worth sourcing further before publication. A verifier independently re-checked the connection and identity (matching the live KRS odpis against the association's own unredacted board-member page) and found no grounds to refute it."
8,Zdzisław Szwed,publish,"Member of the Zarzad Wojewodztwa Lubelskiego (PiS), VI kadencja, 21.11.2018-2024 (portfolio included agriculture, promotion, culture, sport and tourism); long-time radny of Rada Miasta Chelm (2010-2018). After losing his own sejmik re-election bid in 2024 (5th place on the list, 7,212 votes, no mandate), he was appointed prezes of the wojewodztwo-owned company Lubelskie Dworce on 04.07.2024 - then, when he unexpectedly regained his sejmik mandate in September 2024 via list reshuffling, he had to resign the prezes post within the statutory three-month window (resigned 13.01.2025) due to incompatibility of offices. PKW 2011/2019/2023 declarations: member of Prawo i Sprawiedliwosc. | ZRODLO: kandydatury field (PKW declarations PiS 2011/2019/2023; WYBRANY 2010); https://radio.lublin.pl/2024/07/lubelskie-dworce-maja-nowego-prezesa/; https://kurierlubelski.pl/zdzislaw-szwed-wraca-do-sejmiku-wojewodztwa-lubelskiego/ar/c1-18818955; https://wschodni24.pl/index.php/2024/07/04/szwed-zadba-o-dworce/; https://www.wnp.pl/polityka-i-sondaze/osoba/zdzislaw-szwed,43808.html; https://pl.wikipedia.org/wiki/Zdzis%C5%82aw_Szwed; live check https://api-krs.ms.gov.pl/api/krs/OdpisAktualny/0000306605?rejestr=P (accessed 2026-09-05).","Five posts, all with closed end dates in the current data (none 'nadal'): rada nadzorcza seats at MPEC Chelm (two terms, 2004-2007 and 2019-2021), Chelmskie TBS (2003-2004), PKP Linia Hutnicza Szerokotorowa (2021-2024), and the prezes (zarzad) seat at Lubelskie Dworce SA (15.07.2024-13.01.2025). None is a rada spoleczna. Live KRS check confirms Szwed no longer sits on Lubelskie Dworce's current board (current prezes has different initials), matching the recorded end date.","verdict=publish || TEZA: Zdzislaw Szwed, a PiS member of the Lubelskie wojewodztwo zarzad who lost his own 2024 sejmik race, was appointed prezes of the wojewodztwo's Lubelskie Dworce company in July 2024 - then had to resign within three months, per statutory incompatibility rules, when he unexpectedly regained his sejmik seat via list reshuffling in September 2024. || UWAGA: No BIP uchwala documenting the appointment/resignation was located, though three independent press outlets (radio.lublin.pl, wschodni24.pl, kurierlubelski.pl) agree on dates and cause. A verifier independently re-checked the press sources, identity, and the live KRS record, and found no grounds to refute the connection."
9,Antoni Jan Kręźlewicz,skip,"Wojt of Gmina Czosnow for 33 years and 9 months (until 26.02.2024), PSL activist (PKW 2001 declaration: member of PSL; 2010: member of Polskie Stronnictwo Ludowe); since 2024 a radny of Gmina Czosnow (2024-2029 term), elected from the Komitet Wyborczy Wyborcow of Anna Maliszewska, the new wojt. | ZRODLO: kandydatury field (PKW declarations PSL 2001/2010/2018; WYBRANY 2002, 2010, 2018, 2024); https://kuriernowodworski.pl/artykul/anna-maliszewska-zaprzysiezona-na-wojta-gminy-czosnow-rada-gminy-zdominowana-przez-jeden-komitet-n1288299; https://www.portalsamorzadowy.pl/osoba/antoni-krezlewicz,98305.html; https://czosnow.biuletyn.net/?bip=1&cid=243 (all accessed 2026-09-05).","One post in the data, marked 'nadal': rada nadzorcza at Samodzielny Zespol Publicznych Zakladow Opieki Zdrowotnej im. Dzieci Warszawy w Dziekanowie Lesnym (KRS 0000072265, since 2022-01-14). This is an SPZOZ hospital whose statutory supervisory body is a rada spoleczna, not a rada nadzorcza - excluded under house rules. No other post in a public company appears in the data despite his 33-year tenure as wojt. No live re-check was done since the exclusion is categorical.","verdict=skip || TEZA: Antoni Kreźlewicz, wojt of Czosnow for 33 years and a declared PSL member, has only one seat at a public company on record - a hospital board that is legally a rada spoleczna, a categorically excluded post type - so despite the strong documented political career there is no eligible trough post. || UWAGA: Strong, well-documented political career (33 years as wojt, declared PSL member) but the only public-company post on record is a categorically excluded rada spoleczna. Nothing to publish in current form."
11,Jacek Marcin Baczyński,skip,"Three-term radny of Rada Miejska Legnicy; since 2018 a radny of Sejmik Wojewodztwa Dolnoslaskiego (PiS), chairman of the PiS club in the sejmik. PKW 2019 (European Parliament election) declaration: member of Prawo i Sprawiedliwosc. Suspended from PiS party membership since January 2021 after being detained by police over a domestic-violence matter. | ZRODLO: kandydatury field (WYBRANY 2010 Samorzad; PKW declaration PiS 2019); https://e-legnickie.pl/wiadomosci-z-regionu/legnica/52703-jacek-baczynski-zostal-nowym-radnym-dolnoslaskiego-sejmiku; https://tvn24.pl/polska/jacek-baczynski-z-pis-zatrzymany-przez-policje-zawieszony-w-prawach-czlonka-partii-4967746; https://dolnyslaskinfo.pl/leksykon/jacek-baczynski/ (all accessed 2026-09-05).","One post in the data, already ended: rada nadzorcza at Wojewodzki Szpital Specjalistyczny w Legnicy (KRS 0000163872, 2020-06-18 to 2021-12-15). This is an SPZOZ hospital whose statutory supervisory body is a rada spoleczna, not a rada nadzorcza - excluded under house rules regardless of its now-lapsed status.","verdict=skip || TEZA: Jacek Baczynski, long-time PiS radny and chairman of the PiS club in the Dolnoslaskie sejmik, held a single public-company board seat that is both a categorically excluded rada spoleczna and already expired (ended December 2021, coinciding with his police detention and party suspension in January 2021). || UWAGA: The single public-company post is both a categorically excluded rada spoleczna and already expired (ended December 2021), coinciding with his police detention and PiS suspension in January 2021. No eligible post to publish in current form."
