Name,Connection,Employed,Party,Source
Karol Bielski,kandydował do Sejmu z list Trzeciej Drogi uzyskując w Warszawie 737 głosów,członek rady nadzorczej PKP Telkol,PSL,https://demagog.org.pl/analizy_i_raporty/nie-dostali-sie-do-parlamentu-trafili-do-spolek-skarbu-panstwa-lista/
Leszek Świętowski,Kandydował do sejmu jako dwójka na liście Trzeciej Drogi. Uzyskał 1264 głosów w okręgu obejmującym m.in. Lublin,"prezes Stadniny Koni Janów Podlaski, którą nadzoruje Krajowy Ośrodek Wsparcia Rolnictwa",PSL,https://demagog.org.pl/analizy_i_raporty/nie-dostali-sie-do-parlamentu-trafili-do-spolek-skarbu-panstwa-lista/
Paweł Bartoszek,"Należy do PSL, startował do Senatu.","członek rady nadzorczej Zakładu Mechanicznego „Siarkopol” działającego w ramach grupy kapitałowej Siarkopol Tarnobrzeg, w całości należącej do Skarbu Państwa.",PSL,https://demagog.org.pl/analizy_i_raporty/nie-dostali-sie-do-parlamentu-trafili-do-spolek-skarbu-panstwa-lista/
Łukasz Guliński,"Należy do PSL, kandydował jako krakowski kandydat Trzeciej Drogi. W wyborach do Sejmu zdobył tylko 333 głosy.","członek rady nadzorczej PGZ Stocznia Wojenna. Należy ona do Polskiej Grupy Zbrojeniowej, w której Skarb Państwa ma ponad połowę udziałów.",PSL,https://demagog.org.pl/analizy_i_raporty/nie-dostali-sie-do-parlamentu-trafili-do-spolek-skarbu-panstwa-lista/
Leszek Zawadzki,"Członek PSL, bezskutecznie ubiegał się o miejsce w Sejmie z listy Trzeciej Drogi w okręgu obejmującym m.in. Gdynię i Słupsk.","członek rady nadzorczej Pomorskiej Agencji Rozwoju Regionalnego (19,55 proc. udziałów Skarbu Państwa)",PSL,https://demagog.org.pl/analizy_i_raporty/nie-dostali-sie-do-parlamentu-trafili-do-spolek-skarbu-panstwa-lista/
Anna Mikołajczyk,Polityczka PSL ubiegała się o mandat poselski z gdyńskiej listy Trzeciej Drogi.,rada nadzorcza Pomorskiej Specjalnej Strefy Ekonomicznej,PSL,https://demagog.org.pl/analizy_i_raporty/nie-dostali-sie-do-parlamentu-trafili-do-spolek-skarbu-panstwa-lista/
Artur Bagieński,"należy do Polskiego Stronnictwa Ludowego, nie udało się uzyskać mandatu posła z listy Trzeciej Drogi w okręgu obejmującym m.in. Bełchatów","członek rady nadzorczej przedsiębiorstwa Trakcja. 82,75 proc. udziału w ogólnej liczbie głosów akcjonariuszy ma PKP PLK SA (spółka o istotnym znaczeniu dla gospodarki, w której 69,88 proc. udziałów posiada Skarb Państwa).",PSL,https://demagog.org.pl/analizy_i_raporty/nie-dostali-sie-do-parlamentu-trafili-do-spolek-skarbu-panstwa-lista/
Michał Gniatkowski,walczył o mandat poselski z listy Trzeciej Drogi z Poznania,"członek rady nadzorczej Enea SA, w której większość akcji ma Skarb Państwa",Polska 2050,https://demagog.org.pl/analizy_i_raporty/nie-dostali-sie-do-parlamentu-trafili-do-spolek-skarbu-panstwa-lista/
Agnieszka Jędrzejewska,"Członkini partii Nowa Lewica, na warszawskiej liście Nowej Lewicy do Sejmu zagłosowały na nią 1792 osoby, lecz mandatu nie zdobyła.",członkini zarządu spółki Skarbu Państwa Wojskowego Przedsiębiorstwa Handlowego (100 proc. udziałów Skarbu Państwa),Nowa Lewica,https://demagog.org.pl/analizy_i_raporty/nie-dostali-sie-do-parlamentu-trafili-do-spolek-skarbu-panstwa-lista/
Michał Olejniczak,członek partii Nowa Lewica,"członek rady nadzorczej przedsiębiorstwa Narzędziownia – Mechanik, która należy do portfolio (domena lotnicza) Polskiej Grupy Zbrojeniowej będącej spółką o istotnym znaczeniu dla gospodarki, w której Skarb Państwa posiada 44,16 proc. udziałów",Nowa Lewica,https://demagog.org.pl/analizy_i_raporty/nie-dostali-sie-do-parlamentu-trafili-do-spolek-skarbu-panstwa-lista/
Marek Rutka,"Członek Nowej Lewicy Marek Rutka, bezskutecznie ubiegał się o miejsce w Sejmie z listy Nowej Lewicy","Członek rady nadzorczej spółki Zarząd Morskiego Portu Gdynia (99,48 proc. udziałów Skarbu Państwa).",Nowa Lewica,https://demagog.org.pl/analizy_i_raporty/nie-dostali-sie-do-parlamentu-trafili-do-spolek-skarbu-panstwa-lista/
Bartłomiej Gębala,"członek Platformy Obywatelskiej, starosta chrzanowski, ubiegał się o mandat poselski jako czwórka na liście Koalicji Obywatelskiej w Małopolsce.","członek rady nadzorczej Nowego Centrum Administracyjnego. Należy ono do grupy kapitałowej Krakowskiego Parku Technologicznego, który w 80,1 proc. jest własnością Skarbu Państwa.",PO,https://demagog.org.pl/analizy_i_raporty/nie-dostali-sie-do-parlamentu-trafili-do-spolek-skarbu-panstwa-lista/
Henryk Łucjan,Członek Platformy Obywatelskiej,"Członek rady nadzorczej Zakładów Azotowych „Puławy”. Skarb Państwa ma w niej udział poniżej 1 proc. Zakład w Puławach należy jednak do kapitałowej Grupy Azoty, w której Skarb Państwa ma 33 proc.udziałów.",PO,https://demagog.org.pl/analizy_i_raporty/nie-dostali-sie-do-parlamentu-trafili-do-spolek-skarbu-panstwa-lista/
Filip Szymczak,członek Platformy Obywatelskiej z Wolsztyna w województwie wielkopolskim,"członkiem rady nadzorczej przedsiębiorstwa Fabryka – Porta Mare. Wspólnikiem tej spółki jest Operator ARP sp. z o.o., należąca do portfela spółek Agencji Rozwoju Przemysłu (100 proc. udziałów Skarbu Państwa)

członek rady nadzorczej przedsiębiorstwa Euromedicus, gdzie wspólnikiem jest także Operator ARP.",PO,https://demagog.org.pl/analizy_i_raporty/nie-dostali-sie-do-parlamentu-trafili-do-spolek-skarbu-panstwa-lista/
Andrzej Pilot,"dyrektor w MOSiR Zabrze, ubiegał się o mandat posła z listy Koalicji Obywatelskiej na Śląsku","członek rady nadzorczej JSW Logistics, należącej do grupy kapitałowej Jastrzębskiej Spółki Węglowej (54,84 proc. udziałów ma Skarb Państwa)",PO,https://demagog.org.pl/analizy_i_raporty/nie-dostali-sie-do-parlamentu-trafili-do-spolek-skarbu-panstwa-lista/
